scenario,attachment_size_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,cumulative_cost_usd,latency_budget_passed,cost_budget_passed,memory_drift_score,attachment_recall
growing,0,0,1,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,72,0,2,1,493,547,485,0.000373,8189,none,low,0.000373,False,True,1.0,
growing,0,0,2,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,74,0,4,1,989,1274,492,0.000486,6408,none,low,0.000859,False,True,1.0,
growing,0,0,3,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,83,0,6,1,1494,1898,535,0.000606,6495,none,low,0.001465,False,True,1.0,
growing,0,0,4,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,73,0,8,1,1989,2560,583,0.000734,7478,none,medium,0.002199,False,True,1.0,
growing,0,0,5,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,71,0,10,2,2000,3268,616,0.000860,10294,none,medium,0.003059,False,True,1.0,
growing,0,0,6,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,69,0,12,3,2000,3925,647,0.000977,8699,none,medium,0.004036,False,True,1.0,
growing,0,0,7,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,72,0,12,3,2000,4101,676,0.001021,11602,none,medium,0.005057,False,True,0.8333333333333334,
growing,0,0,8,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,76,0,12,4,2000,4296,757,0.001099,8575,none,medium,0.006156,False,True,0.7142857142857143,
growing,0,0,9,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,76,0,12,4,2000,4523,773,0.001142,12554,none,medium,0.007298,False,True,0.75,
growing,0,0,10,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,79,0,12,4,2000,4720,704,0.001130,8715,none,medium,0.008428,False,True,1.0,
growing,0,0,11,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,76,0,12,4,2000,4839,771,0.001188,9868,none,medium,0.009616,False,True,1.0,
growing,0,0,12,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,76,0,12,4,2000,4964,797,0.001223,9632,none,medium,0.010839,False,True,1.0,
growing,0,0,13,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,72,0,12,4,2000,5083,839,0.001266,11537,none,medium,0.012105,False,True,1.0,
growing,0,0,14,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,71,0,12,4,2000,5164,412,0.001022,5756,none,medium,0.013127,False,True,1.0,
growing,0,0,15,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,72,0,12,4,2000,4792,820,0.001211,10313,none,medium,0.014338,False,True,1.0,
growing,0,0,16,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,74,0,12,4,2000,4896,834,0.001235,10151,none,medium,0.015573,False,True,1.0,
growing,0,0,17,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,74,0,12,4,2000,4959,866,0.001263,11361,none,medium,0.016836,False,True,0.9375,
growing,0,0,18,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,79,0,12,4,2000,5027,446,0.001022,7314,none,medium,0.017858,False,True,0.8823529411764706,
growing,0,0,19,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,78,0,12,4,2000,4636,920,0.001247,12540,none,medium,0.019105,False,True,0.8333333333333334,
growing,0,0,20,cba1fec7-bb01-4d3e-9c9d-e340de2306e2,77,0,12,5,2000,5152,660,0.001169,11180,none,medium,0.020274,False,True,0.8421052631578947,
growing,0,1,1,35066231-c975-4cd0-ad62-bc4661a3a69b,72,0,2,1,493,547,485,0.0,0,exact,low,0.000000,True,True,1.0,
growing,0,1,2,35066231-c975-4cd0-ad62-bc4661a3a69b,74,0,4,1,989,1274,492,0.0,0,exact,low,0.000000,True,True,1.0,
growing,0,1,3,35066231-c975-4cd0-ad62-bc4661a3a69b,83,0,6,1,1494,1898,535,0.0,0,exact,low,0.000000,True,True,1.0,
growing,0,1,4,35066231-c975-4cd0-ad62-bc4661a3a69b,73,0,8,1,1989,2560,583,0.0,0,exact,medium,0.000000,True,True,1.0,
growing,0,1,5,35066231-c975-4cd0-ad62-bc4661a3a69b,71,0,10,2,2000,3268,616,0.0,0,exact,medium,0.000000,True,True,1.0,
growing,0,1,6,35066231-c975-4cd0-ad62-bc4661a3a69b,69,0,12,3,2000,3925,647,0.0,0,exact,medium,0.000000,True,True,1.0,
growing,0,1,7,35066231-c975-4cd0-ad62-bc4661a3a69b,72,0,12,3,2000,4101,676,0.0,0,exact,medium,0.000000,True,True,0.8333333333333334,
growing,0,1,8,35066231-c975-4cd0-ad62-bc4661a3a69b,76,0,12,4,2000,4296,757,0.0,0,exact,medium,0.000000,True,True,0.7142857142857143,
growing,0,1,9,35066231-c975-4cd0-ad62-bc4661a3a69b,76,0,12,4,2000,4523,773,0.0,0,exact,medium,0.000000,True,True,0.75,
growing,0,1,10,35066231-c975-4cd0-ad62-bc4661a3a69b,79,0,12,4,2000,4720,704,0.0,0,exact,medium,0.000000,True,True,1.0,
growing,0,1,11,35066231-c975-4cd0-ad62-bc4661a3a69b,76,0,12,4,2000,4839,771,0.0,0,exact,medium,0.000000,True,True,1.0,
